asset_id,longitude,latitude,taxonomy,num_buildings,built_up_area,structural_replacement_cost,structural_retrofit_cost,structural_insurance_limit,structural_insurance_deductible,nonstructural_replacement_cost,nonstructural_retrofit_cost,nonstructural_insurance_limit,nonstructural_insurance_deductible,contents_replacement_cost,contents_retrofit_cost,contents_insurance_limit,contents_insurance_deductible,downtime_cost,downtime_insurance_limit,downtime_insurance_deductible,day_occupants,night_occupants,transit_occupants
31,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-2-F-F-F-F-T,5999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,10,40,24
32,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-3-F-F-F-F-T,763,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,15,60,36
33,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-4-F-F-F-F-T,110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,80,48
34,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-5-F-F-F-F-T,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,25,100,60
35,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-6-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,120,72
36,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-7-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35,140,84
37,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-8-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40,160,96
38,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-9-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,45,180,108
39,35.795031019583028,32.302751776614315,JOR-RCFw/oERD-10-F-F-F-F-T,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,50,200,120
40,35.795031019583028,32.302751776614315,JOR-MURsimplestone-1-T-F-F-F-T,586,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,3
