Adm0,Adm1,ConstructionMaterial,RuralOrUrban,Total_nr_bdgs_mat,1,2,3,4,5,6,7,8,9,10,unknown_floor_nr,-1949,1950-1959,1960-1969,1970-1979,1980-1984,1985-1989,1990-1994,1995-1999,2000,2001,2002,2003,2004,unknown_year
JOR,Amman,Cut Stone & Concrete,urban,22171,0.2209643228,0.4044021469,0.2145595598,0.1174958279,0.0324748545,0.0067655947,0.0018041586,0.0007216634,0.0003608317,0.0001804159,0.0002706238,0.0138469171,0.0387443056,0.0634612782,0.1446484146,0.1469938208,0.1171801001,0.1746425511,0.1363943891,0.0314825673,0.024175725,0.0247169726,0.0189436651,0.0216047991,0.0431644942
JOR,Amman,Cut Stone & Concrete,rural,1762,0.556753689,0.3859250851,0.0476730988,0.0073779796,0.0022701476,0,0,0,0,0,0,0,0.0045402951,0.0141884222,0.0556186152,0.0811577753,0.1066969353,0.206015891,0.227014756,0.0601589103,0.041430193,0.0527809308,0.051645857,0.0595913734,0.0391600454
JOR,Amman,Mud Bricks & Rubble,urban,317,0.8422712934,0.1577287066,0,0,0,0,0,0,0,0,0,0.2460567823,0.3028391167,0.1955835962,0.0914826498,0.0283911672,0.0252365931,0.0094637224,0.0157728707,0,0.0031545741,0.0063091483,0,0.0031545741,0.072555205
JOR,Amman,Mud Bricks & Rubble,rural,83,0.9156626506,0.0843373494,0,0,0,0,0,0,0,0,0,0.0120481928,0.1325301205,0.265060241,0.1204819277,0.0722891566,0.0120481928,0.0481927711,0.0722891566,0.0361445783,0.0120481928,0,0.0120481928,0,0.2048192771
JOR,Aqaba,Cement Bricks,urban,8017,0.703006112,0.1385805164,0.1469377573,0.0092303854,0.0004989398,0.0002494699,0.0003742048,0.0009978795,0.0001247349,0,0,0.0023699638,0.0148434577,0.1388299863,0.2779094424,0.115130348,0.0643632281,0.0971685169,0.1137582637,0.0200823251,0.018086566,0.0212049395,0.0254459274,0.0200823251,0.07072471
JOR,Aqaba,Cement Bricks,rural,2599,0.986533282,0.0123124279,0.0011542901,0,0,0,0,0,0,0,0,0.0007695267,0,0.0011542901,0.0477106579,0.1008080031,0.1673720662,0.1966140823,0.165063486,0.0488649481,0.0269334359,0.0477106579,0.0250096191,0.028087726,0.1439015006
JOR,Aqaba,Concrete,urban,1089,0.5022956841,0.1303948577,0.3103764922,0.0376492195,0.0110192837,0.0073461892,0.0009182736,0,0,0,0,0,0.0009182736,0.0247933884,0.5270890725,0.2846648301,0.0514233242,0.0394857668,0.0238751148,0.0027548209,0.0027548209,0.0091827365,0.0045913682,0.0018365473,0.0266299357
JOR,Aqaba,Concrete,rural,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
JOR,Aqaba,Cut Stone,urban,271,0.1808118081,0.332103321,0.3099630996,0.0811808118,0.0774907749,0.0147601476,0.0036900369,0,0,0,0,0,0,0,0.0848708487,0.0996309963,0.0664206642,0.1623616236,0.2029520295,0.036900369,0.0332103321,0.073800738,0.073800738,0.0701107011,0.0959409594
JOR,Aqaba,Cut Stone,rural,20,0.95,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.15,0.05,0.2,0.1,0.1,0.15,0.05,0,0.1
JOR,Aqaba,Cut Stone & Concrete,urban,388,0.3479381443,0.2603092784,0.3298969072,0.0463917526,0.0154639175,0,0,0,0,0,0,0.0025773196,0.0025773196,0.0051546392,0.0335051546,0.0309278351,0.0824742268,0.1649484536,0.1597938144,0.0541237113,0.043814433,0.0773195876,0.1340206186,0.0927835052,0.1159793814
JOR,Aqaba,Cut Stone & Concrete,rural,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0.25,0,0,0
JOR,Aqaba,Mud Bricks & Rubble,rural,227,0.9955947137,0.0044052863,0,0,0,0,0,0,0,0,0,0.1674008811,0.436123348,0.2863436123,0.0748898678,0,0.0088105727,0.0088105727,0.0044052863,0,0,0,0,0,0.013215859
JOR,Aqaba,Mud Bricks & Rubble,rural,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
JOR,Balqa,Cement Bricks,urban,17038,0.7347106468,0.2341824158,0.027174551,0.0036389248,0.0002934617,0,0,0,0,0,0,0.001056462,0.0030520014,0.0223030872,0.1688578472,0.1945063975,0.1515436084,0.1719098486,0.1332316,0.0287005517,0.0172555464,0.0215987792,0.0194271628,0.0122080056,0.054349102
JOR,Balqa,Cement Bricks,rural,13831,0.7992191454,0.1858867761,0.0136649555,0.001229123,0,0,0,0,0,0,0,0.0013014243,0.0040488757,0.0236425421,0.1062829875,0.2116260574,0.1098257537,0.1786566409,0.1500976068,0.0430916058,0.0275468151,0.0211119948,0.0203166799,0.0204612826,0.0819897332
JOR,Balqa,Concrete,urban,5953,0.402654124,0.4426339661,0.1261548799,0.0260372921,0.0020157904,0.0005039476,0,0,0,0,0,0.022509659,0.0320846632,0.1076768016,0.2185452713,0.1600873509,0.087518898,0.1471526961,0.0960860071,0.017134218,0.0125986897,0.0164622879,0.0129346548,0.0099109693,0.059297833
JOR,Balqa,Concrete,rural,4227,0.628105039,0.3498935415,0.0212916962,0.0007097232,0,0,0,0,0,0,0,0.0049680625,0.0208185474,0.1137922877,0.2484031228,0.1663118051,0.1107168204,0.143364088,0.0967589307,0.019399101,0.0120652945,0.0092264017,0.0080435297,0.0073338065,0.038798202
JOR,Balqa,Cut Stone,urban,2612,0.3300153139,0.5317764165,0.106431853,0.0260336907,0.0042113323,0.0015313936,0,0,0,0,0,0.0225880551,0.0091883614,0.0233537519,0.0505359877,0.0758039816,0.1018376723,0.2075038285,0.2339203675,0.0647013783,0.0436447167,0.0436447167,0.045941807,0.0398162328,0.0375191424
JOR,Balqa,Cut Stone,rural,1030,0.3883495146,0.5242718447,0.0699029126,0.0106796117,0.0058252427,0.0009708738,0,0,0,0,0,0.0058252427,0.0038834951,0.0165048544,0.0398058252,0.1087378641,0.1174757282,0.2019417476,0.2378640777,0.0669902913,0.045631068,0.032038835,0.0417475728,0.0436893204,0.0378640777
JOR,Balqa,Cut Stone & Concrete,urban,3149,0.3470943157,0.4658621785,0.1463956812,0.0362019689,0.0044458558,0,0,0,0,0,0,0.0682756431,0.0161956177,0.0276278184,0.0762146713,0.0965385837,0.1035249285,0.1841854557,0.1975230232,0.043823436,0.0349317244,0.0358844077,0.041282947,0.029215624,0.0447761194
JOR,Balqa,Cut Stone & Concrete,rural,876,0.4155251142,0.5057077626,0.0662100457,0.0102739726,0.0011415525,0,0.0011415525,0,0,0,0,0.0068493151,0.0068493151,0.0319634703,0.0833333333,0.1255707763,0.1244292237,0.1837899543,0.1997716895,0.0525114155,0.0331050228,0.0410958904,0.0376712329,0.0308219178,0.0422374429
JOR,Balqa,Mud Bricks & Rubble,urban,190,0.6526315789,0.3473684211,0,0,0,0,0,0,0,0,0,0.4263157895,0.1578947368,0.0684210526,0.0894736842,0.0473684211,0.0315789474,0.0368421053,0.0157894737,0,0,0,0,0.0052631579,0.1210526316
JOR,Balqa,Mud Bricks & Rubble,rural,173,0.901734104,0.098265896,0,0,0,0,0,0,0,0,0,0.2196531792,0.1734104046,0.1849710983,0.1734104046,0.0289017341,0.0346820809,0.0462427746,0.0231213873,0,0,0.0057803468,0,0.0057803468,0.1040462428
JOR,Irbid,Cement Bricks,urban,57254,0.6102630384,0.3251301219,0.0561358158,0.007353198,0.0009780976,0.0001222622,0.000017466,0,0,0,0,0.0052398086,0.0128899291,0.0679428512,0.1929297516,0.1886855067,0.1241834632,0.1586264715,0.1266985713,0.0306878122,0.0195095539,0.0191253013,0.016487931,0.0141649492,0.0228280993
JOR,Irbid,Cement Bricks,rural,29526,0.7179435074,0.2642416853,0.0170019644,0.0008128429,0,0,0,0,0,0,0,0.0040303461,0.0081961661,0.0445708867,0.1671069566,0.1733726207,0.1549481813,0.1760482287,0.1415701416,0.035663483,0.0228612071,0.0230305493,0.0213371266,0.0146989094,0.0125651968
JOR,Irbid,Concrete,urban,12013,0.5187713311,0.3794222925,0.0876550404,0.0121535004,0.0019145925,8.32431532506451E-005,0,0,0,0,0,0.012486473,0.0332140181,0.1615749605,0.2736202447,0.1539165904,0.0904853076,0.1072171814,0.0769166736,0.0159826854,0.0112378257,0.0105718805,0.0109880962,0.0119870141,0.0298010489
JOR,Irbid,Concrete,rural,2304,0.7170138889,0.2730034722,0.0099826389,0,0,0,0,0,0,0,0,0.0069444444,0.03125,0.2052951389,0.3815104167,0.13671875,0.0681423611,0.0807291667,0.0460069444,0.0099826389,0.0078125,0.0065104167,0.0082465278,0.0056423611,0.0052083333
JOR,Irbid,Cut Stone,urban,5117,0.4186046512,0.3855774868,0.0959546609,0.0383036936,0.0545241352,0.0050811022,0.001172562,0.000781708,0,0,0,0.0099667774,0.023842095,0.04768419,0.0791479382,0.096931796,0.1117842486,0.1813562634,0.1784248583,0.0639046316,0.0410396717,0.0400625366,0.0457299199,0.0564784053,0.023646668
JOR,Irbid,Cut Stone,rural,571,0.5761821366,0.3852889667,0.0332749562,0.0052539405,0,0,0,0,0,0,0,0.0087565674,0.0140105079,0.0665499124,0.122591944,0.0840630473,0.1103327496,0.1593695271,0.1873905429,0.057793345,0.0455341506,0.0560420315,0.0525394046,0.0227670753,0.0122591944
JOR,Irbid,Cut Stone & Concrete,urban,10213,0.3825516499,0.4112405757,0.1388426515,0.0469010085,0.0163517086,0.0024478606,0.0008812298,0.0003916577,0.0002937433,9.79144227944776E-005,0,0.0185058259,0.0454322922,0.0836189171,0.1273866641,0.1219034564,0.1061392343,0.1602859101,0.1522569274,0.0381866249,0.029178498,0.0303534711,0.0299618134,0.0279056105,0.0288847547
JOR,Irbid,Cut Stone & Concrete,rural,1551,0.611863314,0.3558994197,0.025789813,0.0051579626,0.0012894907,0,0,0,0,0,0,0.0083816892,0.0180528691,0.0934880722,0.1237911025,0.1134751773,0.1244358478,0.1669890393,0.1676337847,0.0496453901,0.0380399742,0.0354609929,0.0354609929,0.0206318504,0.0045132173
JOR,Irbid,Mud Bricks & Rubble,urban,1584,0.9621212121,0.0378787879,0,0,0,0,0,0,0,0,0,0.2361111111,0.2720959596,0.2607323232,0.1066919192,0.0258838384,0.0113636364,0.009469697,0.0088383838,0.0031565657,0.0012626263,0.0006313131,0.0006313131,0.0018939394,0.0612373737
JOR,Irbid,Mud Bricks & Rubble,rural,850,0.9752941176,0.0247058824,0,0,0,0,0,0,0,0,0,0.2094117647,0.2764705882,0.2788235294,0.1505882353,0.0223529412,0.0129411765,0.0082352941,0.0094117647,0.0011764706,0,0,0.0011764706,0.0011764706,0.0282352941
JOR,Jarash,Cement Bricks,urban,6930,0.7145743146,0.2396825397,0.0380952381,0.0066378066,0.001010101,0,0,0,0,0,0,0.0037518038,0.0053391053,0.1417027417,0.1481962482,0.1637806638,0.1243867244,0.1702741703,0.1366522367,0.0298701299,0.0191919192,0.016017316,0.0134199134,0.0080808081,0.0193362193
JOR,Jarash,Cement Bricks,rural,8597,0.6948935675,0.2837036175,0.0202396185,0.0011631965,0,0,0,0,0,0,0,0.0015121554,0.0052343841,0.0298941491,0.1106199837,0.1443526812,0.1298127254,0.1898336629,0.1762242643,0.044085146,0.0309410259,0.0318715831,0.0300104688,0.0234965686,0.0521112016
JOR,Jarash,Concrete,urban,2148,0.4706703911,0.4120111732,0.0991620112,0.0162942272,0.0018621974,0,0,0,0,0,0,0.0246741155,0.0530726257,0.144320298,0.2877094972,0.1755121043,0.1094040968,0.1019553073,0.0446927374,0.0130353818,0.0083798883,0.0074487896,0.009310987,0.0037243948,0.0167597765
JOR,Jarash,Concrete,rural,2799,0.6934619507,0.297606288,0.0089317613,0,0,0,0,0,0,0,0,0.0128617363,0.0232225795,0.1178992497,0.3061807788,0.2268667381,0.1053947839,0.0839585566,0.0478742408,0.0121471954,0.0050017864,0.0071454091,0.0046445159,0.0028581636,0.0439442658
JOR,Jarash,Cut Stone,urban,418,0.3397129187,0.4090909091,0.1722488038,0.04784689,0.0167464115,0.014354067,0,0,0,0,0,0.004784689,0.014354067,0.0622009569,0.0980861244,0.1148325359,0.1220095694,0.1650717703,0.2009569378,0.043062201,0.019138756,0.028708134,0.033492823,0.0693779904,0.023923445
JOR,Jarash,Cut Stone,rural,284,0.5070422535,0.4295774648,0.0492957746,0.0105633803,0.0035211268,0,0,0,0,0,0,0.0105633803,0.0070422535,0.0211267606,0.0809859155,0.1056338028,0.0598591549,0.161971831,0.2183098592,0.073943662,0.0422535211,0.0669014085,0.0563380282,0.0352112676,0.0598591549
JOR,Jarash,Cut Stone & Concrete,urban,772,0.2888601036,0.4507772021,0.1632124352,0.0803108808,0.0155440415,0.0012953368,0,0,0,0,0,0.0129533679,0.0323834197,0.1126943005,0.1398963731,0.1334196891,0.1191709845,0.146373057,0.1554404145,0.0362694301,0.0259067358,0.0207253886,0.0284974093,0.0259067358,0.0103626943
JOR,Jarash,Cut Stone & Concrete,rural,253,0.5098814229,0.4545454545,0.0316205534,0.0039525692,0,0,0,0,0,0,0,0.0039525692,0.023715415,0.0434782609,0.1027667984,0.0988142292,0.1106719368,0.1541501976,0.2173913043,0.0395256917,0.0355731225,0.0316205534,0.0434782609,0.0395256917,0.0553359684
JOR,Jarash,Mud Bricks & Rubble,urban,163,0.8098159509,0.1901840491,0,0,0,0,0,0,0,0,0,0.1779141104,0.4355828221,0.2208588957,0.1042944785,0.0122699387,0.0122699387,0,0.0122699387,0,0,0,0,0,0.0245398773
JOR,Jarash,Mud Bricks & Rubble,rural,210,0.880952381,0.119047619,0,0,0,0,0,0,0,0,0,0.1571428571,0.2761904762,0.2857142857,0.1047619048,0.0238095238,0.0095238095,0.0095238095,0.0238095238,0,0.0047619048,0.0047619048,0.0047619048,0,0.0952380952
JOR,Karak,Cement Bricks,urban,5246,0.7906976744,0.1637438048,0.0386961494,0.0057186428,0.0009531071,0.0001906214,0,0,0,0,0,0.0011437286,0.0015249714,0.0152497141,0.0812047274,0.169653069,0.1637438048,0.2232176897,0.1768966832,0.0402211209,0.0274494853,0.0329775067,0.0390773923,0.017918414,0.0097216927
JOR,Karak,Cement Bricks,rural,10266,0.7459575297,0.2326125073,0.0197740113,0.0014611338,0.0001948178,0,0,0,0,0,0,0.0005844535,0.0024352231,0.015098383,0.1613091759,0.1147477109,0.1228326515,0.2038768751,0.1947204364,0.0450029223,0.0355542568,0.0342879408,0.0262030002,0.0177284239,0.0256185467
JOR,Karak,Concrete,urban,2779,0.5494782296,0.3145016193,0.0996761425,0.0302267003,0.005397625,0.0007196833,0,0,0,0,0,0.0093558834,0.0197912918,0.1299028427,0.2939906441,0.2249010435,0.120906801,0.0985966175,0.0503778338,0.0057574667,0.0064771501,0.0039582584,0.003238575,0.0014393667,0.0313062253
JOR,Karak,Concrete,rural,9355,0.7938001069,0.1929449492,0.0123997862,0.000748263,0,0.0001068947,0,0,0,0,0,0.0023516836,0.0083377873,0.0923570283,0.3294494923,0.2097274185,0.1314804917,0.0889363976,0.0595403528,0.0136825227,0.0094067344,0.0061998931,0.0069481561,0.0047033672,0.0368786745
JOR,Karak,Cut Stone,urban,561,0.4937611408,0.3654188948,0.110516934,0.0249554367,0.0035650624,0.0017825312,0,0,0,0,0,0.0160427807,0.0160427807,0.0142602496,0.0338680927,0.0481283422,0.0891265597,0.1782531194,0.2620320856,0.0855614973,0.0445632799,0.055258467,0.0713012478,0.0534759358,0.0320855615
JOR,Karak,Cut Stone,rural,477,0.7044025157,0.2704402516,0.0188679245,0.0062893082,0,0,0,0,0,0,0,0,0.0020964361,0.0146750524,0.0796645702,0.0545073375,0.0943396226,0.2117400419,0.2327044025,0.0649895178,0.0691823899,0.0628930818,0.0670859539,0.0272536688,0.0188679245
JOR,Karak,Cut Stone & Concrete,urban,1588,0.3664987406,0.3879093199,0.1763224181,0.0585642317,0.0107052897,0,0,0,0,0,0,0.0535264484,0.0371536524,0.0396725441,0.1001259446,0.0944584383,0.080604534,0.1618387909,0.1882871537,0.0528967254,0.0390428212,0.0472292191,0.048488665,0.0258186398,0.0308564232
JOR,Karak,Cut Stone & Concrete,rural,1440,0.6201388889,0.3298611111,0.0381944444,0.0097222222,0.0013888889,0.0006944444,0,0,0,0,0,0.0027777778,0.0055555556,0.01875,0.0520833333,0.05,0.0923611111,0.2076388889,0.2520833333,0.0638888889,0.0576388889,0.0715277778,0.0548611111,0.0548611111,0.0159722222
JOR,Karak,Mud Bricks & Rubble,urban,95,0.9789473684,0.0210526316,0,0,0,0,0,0,0,0,0,0.0526315789,0.1368421053,0.1578947368,0.1368421053,0.2105263158,0.1157894737,0.0105263158,0.0315789474,0,0.0105263158,0,0.0105263158,0.0210526316,0.1052631579
JOR,Karak,Mud Bricks & Rubble,rural,248,0.9919354839,0.0080645161,0,0,0,0,0,0,0,0,0,0.2096774194,0.1370967742,0.2741935484,0.2379032258,0.0120967742,0,0,0.0080645161,0,0,0,0,0,0.1209677419
JOR,Ma`an,Cement Bricks,urban,4383,0.5995893224,0.2963723477,0.0892083048,0.0132329455,0.0011407712,0.0002281542,0.0002281542,0,0,0,0,0.0020533881,0.0034223135,0.0604608715,0.1590234999,0.1681496692,0.1184120465,0.1544604152,0.1403148528,0.0396988364,0.0212183436,0.0234998859,0.016655259,0.0177960301,0.0748345882
JOR,Ma`an,Cement Bricks,rural,6174,0.8765792031,0.114026563,0.0089083252,0.0004859086,0,0,0,0,0,0,0,0.0006478782,0.0003239391,0.0160349854,0.0897311305,0.1337868481,0.1533851636,0.2149335925,0.2079689018,0.0502105604,0.0372529964,0.029478458,0.0323939099,0.0204081633,0.0134434726
JOR,Ma`an,Concrete,urban,483,0.6066252588,0.2443064182,0.1428571429,0.0041407867,0.0020703934,0,0,0,0,0,0,0,0.0082815735,0.1118012422,0.3995859213,0.1697722567,0.082815735,0.0393374741,0.0144927536,0.0062111801,0.0041407867,0.0020703934,0,0,0.1614906832
JOR,Ma`an,Concrete,rural,2513,0.8893752487,0.1046557899,0.0059689614,0,0,0,0,0,0,0,0,0.0007958615,0.0067648229,0.1090330283,0.4683645046,0.2510943096,0.0819737366,0.0266613609,0.0290489455,0.0011937923,0,0.0011937923,0.0011937923,0,0.0226820533
JOR,Ma`an,Cut Stone,urban,185,0.4756756757,0.4,0.0972972973,0.0162162162,0.0108108108,0,0,0,0,0,0,0,0.0054054054,0.0324324324,0.0810810811,0.0918918919,0.0594594595,0.172972973,0.1891891892,0.0972972973,0.0702702703,0.0540540541,0.0378378378,0.0486486486,0.0594594595
JOR,Ma`an,Cut Stone,rural,74,0.6486486486,0.3243243243,0.027027027,0,0,0,0,0,0,0,0,0,0.0135135135,0.0675675676,0.0675675676,0.0945945946,0.0675675676,0.1621621622,0.2567567568,0.1216216216,0.0540540541,0.0135135135,0,0.027027027,0.0540540541
JOR,Ma`an,Cut Stone & Concrete,urban,386,0.4715025907,0.3264248705,0.1373056995,0.0440414508,0.0129533679,0.0025906736,0,0.0051813472,0,0,0,0.0025906736,0.0129533679,0.0259067358,0.0880829016,0.0984455959,0.0829015544,0.1787564767,0.2202072539,0.0569948187,0.0362694301,0.0518134715,0.0414507772,0.0699481865,0.0336787565
JOR,Ma`an,Cut Stone & Concrete,rural,127,0.6929133858,0.2992125984,0.0078740157,0,0,0,0,0,0,0,0,0.0236220472,0.0078740157,0.1496062992,0.1417322835,0.094488189,0.062992126,0.1102362205,0.1968503937,0.062992126,0.0236220472,0.0393700787,0.0393700787,0.0078740157,0.0393700787
JOR,Ma`an,Mud Bricks & Rubble,urban,267,0.9850187266,0.0149812734,0,0,0,0,0,0,0,0,0,0.0786516854,0.0599250936,0.4981273408,0.1498127341,0.0224719101,0.0112359551,0.0112359551,0.0112359551,0.0037453184,0.0074906367,0.0037453184,0,0,0.1423220974
JOR,Ma`an,Mud Bricks & Rubble,rural,158,0.9873417722,0.0126582278,0,0,0,0,0,0,0,0,0,0.0696202532,0.2215189873,0.253164557,0.2278481013,0.0506329114,0.0316455696,0.0063291139,0,0.0063291139,0,0,0,0,0.1329113924
JOR,Madaba,Cement Bricks,urban,4124,0.5339476237,0.3739088264,0.083656644,0.0063045587,0.0016973812,0.0004849661,0,0,0,0,0,0.0029097963,0.0271580989,0.0703200776,0.2184772066,0.1656159069,0.1362754607,0.1450048497,0.1178467507,0.0298254122,0.0164888458,0.0196411251,0.0164888458,0.018671193,0.0152764306
JOR,Madaba,Cement Bricks,rural,6718,0.8779398631,0.1161059839,0.0055075915,0.0004465615,0,0,0,0,0,0,0,0.0011908306,0.0032747842,0.0177136052,0.1070259006,0.1248883596,0.1266746055,0.193658827,0.1777314677,0.0446561477,0.0311104495,0.0339386722,0.029026496,0.0259005656,0.0832092885
JOR,Madaba,Concrete,urban,1586,0.5756620429,0.3493064313,0.0712484237,0.0031525851,0.000630517,0,0,0,0,0,0,0.0195460277,0.1261034048,0.1992433796,0.368221942,0.1418663304,0.0630517024,0.0239596469,0.0226986129,0.0031525851,0.001261034,0.0031525851,0.0025220681,0.0025220681,0.0226986129
JOR,Madaba,Concrete,rural,1561,0.8571428571,0.1390134529,0.0038436899,0,0,0,0,0,0,0,0,0.0051249199,0.0262652146,0.1159513133,0.4240871236,0.1383728379,0.0717488789,0.064061499,0.0403587444,0.0076873799,0.0096092249,0.0108904548,0.0051249199,0.0064061499,0.0743113389
JOR,Madaba,Cut Stone,urban,624,0.3237179487,0.5096153846,0.1362179487,0.0256410256,0.0048076923,0,0,0,0,0,0,0.0080128205,0.0256410256,0.0432692308,0.0833333333,0.0689102564,0.108974359,0.203525641,0.2051282051,0.0448717949,0.0416666667,0.0576923077,0.0304487179,0.0544871795,0.0240384615
JOR,Madaba,Cut Stone,rural,272,0.5330882353,0.3970588235,0.0514705882,0.0183823529,0,0,0,0,0,0,0,0.0036764706,0.0073529412,0.0147058824,0.0698529412,0.0477941176,0.0588235294,0.1397058824,0.2426470588,0.0992647059,0.0625,0.0625,0.0294117647,0.0698529412,0.0919117647
