Adm0,Adm1,Adm2,ConstructionMaterial,NrBuildings,1,2,3,4,5,6,unknown_floor_nr,-1948,1948-1967,1968-1977,1978-1987,1988-1997,1998-2008,unknown_year
PSE,Westbank,Tulkarm,Stone and Concrete,1066,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.074147798,0.1987642034,0.11346106,0.1596997595,0.2190843493,0.2087583976,0.0260844323
PSE,Westbank,Tulkarm,Cleaned Stone,1696,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.074147798,0.1987642034,0.11346106,0.1596997595,0.2190843493,0.2087583976,0.0260844323
PSE,Westbank,Nablus,Unknown,709,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Nablus,Other,1114,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Nablus,Old Stone,4912,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Nablus,Adobe Clay,103,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Nablus,Cement Block,15192,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Nablus,Concrete,6388,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Nablus,Stone and Concrete,6495,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Nablus,Cleaned Stone,5052,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0818126521,0.1856244931,0.1111111111,0.1439831711,0.1975111517,0.2171786294,0.0627787916
PSE,Westbank,Qalqilya,Unknown,76,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
PSE,Westbank,Qalqilya,Other,691,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
PSE,Westbank,Qalqilya,Old Stone,508,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
PSE,Westbank,Qalqilya,Adobe Clay,46,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
PSE,Westbank,Qalqilya,Cement Block,9532,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
PSE,Westbank,Qalqilya,Concrete,864,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
PSE,Westbank,Qalqilya,Stone and Concrete,349,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
PSE,Westbank,Qalqilya,Cleaned Stone,720,0.3809483523,0.4508328201,0.1162597884,0.028588639,0.0076040094,0.0071403916,0.0086259991,0.0417922284,0.1478191911,0.1419508327,0.1413164155,0.2206978588,0.262331483,0.0440919905
